stnm,stid,name,city,rang,cdir,cnty,nlat,elon,elev,cdiv,clas,WCR05,WCS05,A05,N05,BULK5,GRAV5,SAND5,SILT5,CLAY5,TEXT5,WCR10,WCS10,A10,N10,WCR25,WCS25,A25,N25,BULK25,GRAV25,SAND25,SILT25,CLAY25,TEXT25,WCR60,WCS60,A60,N60,BULK60,GRAV60,SAND60,SILT60,CLAY60,TEXT60,WCR75,WCS75,A75,N75,BULK75,GRAV75,SAND75,SILT75,CLAY75,TEXT75,datc,datd
110,ACME,Acme,Rush Springs,4,WNW,Grady,34.80833,-98.02325,397,Central,STANDARD,0.02,0.432,0.495,1.35,1.27,0,73,19.7,7.2,Sandy loam,0.023,0.431,0.465,1.35,0.037,0.425,0.348,1.35,1.33,0,60.3,23.9,15.7,Sandy loam,0.055,0.365,0.342,1.32,1.6,0,52.5,25.9,21.5,Sandy clay loam,0.054,0.351,0.313,1.29,1.68,0,53.2,24.1,22.8,Sandy clay loam,19940101,20991231
1,ADAX,Ada,Ada,2,NNE,Pontotoc,34.79851,-96.66909,295,South Central,STANDARD,0.033,0.519,0.56,1.32,1.01,0,61.1,22,16.9,Sandy loam,0.035,0.483,0.501,1.31,0.043,0.33,0.146,1.26,1.79,0,51.1,25.4,23.5,Sandy clay loam,0.042,0.331,0.072,1.25,1.85,0,47.6,24.6,27.8,Sandy clay loam,0.044,0.335,0.076,1.23,1.86,0,43.6,26.6,29.8,Clay loam,19940101,20991231
2,ALTU,Altus,Altus,3,S,Jackson,34.58722,-99.33808,416,Southwest,STANDARD,0.061,0.399,0.111,1.31,1.57,0,23.8,40,36.2,Clay loam,0.062,0.401,0.11,1.3,0.066,0.412,0.106,1.28,1.56,0,17.8,45.2,37,Silty clay loam,0.064,0.396,0.135,1.18,1.69,0,14.3,40.9,44.8,Silty clay,0.06,0.389,0.113,1.18,1.73,0,15,40.9,44.1,Silty clay,19940101,20991231
116,ALV2,Alva,Alva,7.2,SSW,Woods,36.70823,-98.70974,439,North Central,ENHANCED,0.054,0.382,0.038,1.44,1.66,0,33.3,31.4,35.3,Clay loam,0.058,0.388,0.044,1.41,0.065,0.414,0.097,1.28,1.58,0,21.2,29.7,49.1,Clay,0.074,0.398,0.234,1.2,1.64,0,19.8,29.8,50.5,Clay,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,19981217,20991231
3,ALVA,Alva,Alva,2,S,Woods,36.7797,-98.6717,450,North Central,STANDARD,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-29.908,,0.027,1,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,19940101,19981216
135,ANT2,Antlers,Antlers,3,WNW,Pushmataha,34.24967,-95.66844,172,Southeast,STANDARD,0.024,0.356,0.059,1.54,1.49,0,55.6,34.9,9.4,Sandy loam,0.027,0.349,0.077,1.51,0.04,0.319,0.475,1.4,1.7,0,57.5,31.1,11.3,Sandy loam,0.047,0.347,0.208,1.29,1.69,0,47.7,26.8,25.5,Sandy clay loam,0.045,0.356,0.056,1.4,1.71,0,46.5,27.4,26.1,Sandy clay loam,20110415,20991231
4,ANTL,Antlers,Antlers,5,W,Pushmataha,34.22438,-95.70059,179,Southeast,STANDARD,0.02,0.457,0.761,1.65,1.19,0,77.5,14.8,7.7,Sandy loam,0.02,0.453,0.756,1.65,0.019,0.435,0.731,1.63,1.26,0,78,16.3,5.7,Loamy sand,0.015,0.271,0.289,1.36,1.92,0,76.8,16.3,6.9,Sandy loam,0.018,0.273,0.348,1.36,1.95,0,80,8.8,11.3,Sandy loam,19940101,20110414
111,APAC,Apache,Apache,4,ENE,Caddo,34.91418,-98.29216,440,Southwest,STANDARD,0.022,0.409,0.497,1.38,1.41,0,76.9,11.3,11.9,Sandy loam,0.025,0.406,0.47,1.38,0.038,0.393,0.355,1.36,1.48,0,59.4,19.4,21.3,Sandy clay loam,0.057,0.389,0.12,1.31,1.59,0,31.6,33.9,34.5,Clay loam,0.06,0.382,0.149,1.24,1.66,0,32.3,28.8,38.8,Clay loam,19940101,20991231
126,ARD2,Ardmore,Ardmore,3.5,ENE,Carter,34.19258,-97.08568,266,South Central,STANDARD,0.065,0.446,0.369,1.36,1.29,0,33.6,34.1,32.2,Clay loam,0.065,0.44,0.318,1.34,0.064,0.414,0.118,1.3,1.52,0,27,33.7,39.4,Clay loam,0.066,0.425,0.072,1.22,1.63,0,11.2,33.8,54.9,Clay,0.067,0.405,0.135,1.18,1.67,0,11.3,35.7,53,Clay,20040223,20991231
5,ARDM,Ardmore,Ardmore,3,ENE,Carter,34.1922,-97.085,266,South Central,ENHANCED,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-29.908,,0.027,1,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,19940101,20040218
